Player Name,guess rate,usefulness,avg diff,erigs,avg /8 correct,OP guess rate,,
mkby,38.462,8.739,26.518,2,4.525,38.462,0,0
Coglionedown,37.634,8.42,31.96,0,4.4,37.634,0,0
chaabdu92,36.923,6.088,30.825,1,5.062,36.923,0,0
Maki04,36.842,8.003,29.654,0,4.543,36.842,0,0
kabigon,34.351,4.462,33.553,0,5.4,34.351,0,0
Kenzou_Tenma,33.654,7.306,27.218,2,4.657,33.654,0,0
Pizza420,32.927,4.643,38.648,0,5.407,32.927,0,0
Rissa,30.928,7.818,26.719,2,4,30.928,0,0
SaikiChan,30.081,5.746,30.354,1,4.865,30.081,0,0
Flato,29.907,6.322,35.299,3,4.719,29.907,0,0
Swapin,29.808,5.104,32.682,0,4.968,29.808,0,0
Yokipi,26.829,3.274,35.503,0,5.591,26.829,0,0
Poppysr,26.316,4.071,29.835,1,5.2,26.316,0,0
Konsumenci,25.962,5.882,27.119,3,4.815,25.962,0,0
Kirox,25.954,3.707,33.025,1,5.588,25.954,0,0
Sgtvp,24.299,2.825,34.096,0,5.462,24.299,0,0
Tapumomo_,24.211,2.978,31.52,1,5.565,24.211,0,0
yasashiikumo,22.222,2.389,34.219,0,5.714,22.222,0,0
yashadox,21.538,2.193,33.342,0,5.821,21.538,0,0
Progenitor,20.635,3.147,35.201,1,5.269,20.635,0,0
spanky,20.43,6.628,25.459,3,3.895,20.43,0,0
a_hooman,6.186,0.918,36.469,0,4.833,6.186,0,0
,,,,,,,,
2025-04-21,,,,,,,,
Baikinman,75.591,22.698,27.621,9,3.958,75.591,0,0
iryd,70.732,19.462,28.557,4,4.069,70.732,0,0
FaLiLV,64.228,16.756,29.038,5,4.228,64.228,0,0
Yolowolf75,56.589,14.767,29.66,2,4.055,56.589,0,0
Thaleko,53.901,13.245,30.696,3,4.263,53.901,0,0
Shuuka,53.077,12.683,29.483,4,4.406,53.077,0,0
oh95,51.064,13.837,29.218,4,4.111,51.064,0,0
ericispog,46.923,11.808,29.329,3,4.279,46.923,0,0
753,44.961,10.108,30.678,0,4.345,44.961,0,0
Alkios,44,12.646,28.723,2,3.818,44,0,0
MoltenAshes,38.583,5.798,33.484,0,5.122,38.583,0,0
Kenzou_Tenma,36.22,6.652,28.507,0,4.804,36.22,0,0
cafezinho,35,8.765,33.046,1,4.257,35,0,0
